ID,k_fold
1,2
2,3
3,4
4,1
5,2
6,3
7,4
8,1
9,2
10,3
11,4
12,1
13,2
14,3
15,4
16,1
17,2
18,3
19,4
20,1
21,2
22,3
23,4
24,1
25,2
26,3
27,4
28,1
29,2
30,3
31,4
32,1
33,2
34,3
35,4
36,1
37,2
38,3
39,4
40,1
41,2
42,3
43,4
44,1
45,2
46,3
47,4
48,1
49,2
50,3
51,4
52,1
53,2
54,3
55,4
56,1
57,2
58,3
59,4
60,1
61,2
62,3
63,4
64,1
65,2
66,3
67,4
68,1
69,2
70,3
71,4
72,1
73,2
74,3
75,4
76,1
77,2
78,3
79,4
80,1
81,2
82,3
83,4
84,1
85,2
86,3
87,4
88,1
89,2
100,1
101,2
102,3
103,4
104,1
105,2
106,3
107,4
108,1
109,2
110,3
111,4
112,1
113,2
114,3
115,4
116,1
117,2
118,3
119,4
120,1
121,2
122,3
123,4
124,1
125,2
126,3
127,4
128,1
129,2
130,3
131,4
132,1
133,2
134,3
135,4
136,1
137,2
138,3
139,4
140,1
141,2
142,3
143,4
144,1
145,2
146,3
147,4
148,1
149,2
150,3
151,4
152,1
153,2
154,3
155,4
156,1
157,2
158,3
159,4
160,1
161,2
162,3
163,4
164,1
165,2
166,3
167,4
168,1
169,2
170,3
171,4
172,1
173,2
174,3
175,4
176,1
177,2
178,3
179,4
180,1
181,2
182,3
183,4
184,1
185,2
186,3
187,4
188,1
189,2
190,3
191,4
192,1
193,2
194,3
195,4
196,1
197,2
198,3
199,4
200,1
